n,omega,tau_type,tau_value,init_name,dt,T,step,time,kl_energy,norm_energy,mean_error,cov_error,volume_error,shape_error,cosine_error,eig_min,eig_max,chi
2,0.125,negative,-0.03125,mean_only,0.1,2.0,0,0.0,4.499999999999999,1.0,2.9999999999999996,0.0,0.0,0.0,1.126178161942212,1.0,1.0,1.0
2,0.125,negative,-0.03125,mean_only,0.1,2.0,5,0.5,1.56905298045,0.34867844010000004,1.7714699999999999,0.0,0.0,0.0,0.8796269010084781,1.0,1.0,1.0
2,0.125,negative,-0.03125,mean_only,0.1,2.0,10,1.0,0.547094945657562,0.12157665459056936,1.0460353203000001,0.0,0.0,0.0,0.4847531844313441,1.0,1.0,1.0
2,0.125,negative,-0.03125,mean_only,0.1,2.0,15,1.5,0.19076021223847284,0.042391158275216195,0.617673396283947,0.0,0.0,0.0,0.2496077137305744,1.0,1.0,1.0
2,0.125,negative,-0.03125,mean_only,0.1,2.0,20,2.0,0.06651397323645569,0.0147808829414346,0.36472996377170785,0.0,0.0,0.0,0.13016723127554308,1.0,1.0,1.0
2,0.125,negative,-0.03125,volume_high,0.1,2.0,0,0.0,1.6137056388801092,1.0,0.0,2.9999999999999996,1.3862943611198906,0.0,0.413512845638725,4.0,4.0,1.0
2,0.125,negative,-0.03125,volume_high,0.1,2.0,5,0.5,6.181568678020888e-05,3.830666838538667e-05,0.0,0.011077792373891502,0.011139608060671607,0.0,0.002956427821929619,0.9889222076261085,0.9889222076261085,1.0
2,0.125,negative,-0.03125,volume_high,0.1,2.0,10,1.0,6.714406808328022e-12,4.160862208418465e-12,0.0,3.6645304313243084e-06,3.6645371457323534e-06,0.0,9.75280360360209e-07,0.9999963354695687,0.9999963354695687,1.0
2,0.125,negative,-0.03125,volume_high,0.1,2.0,15,1.5,0.0,0.0,0.0,1.1726627446861926e-09,1.1726627453737614e-09,0.0,3.120929070732359e-10,0.9999999988273373,0.9999999988273373,1.0
2,0.125,negative,-0.03125,volume_high,0.1,2.0,20,2.0,0.0,0.0,0.0,3.751443600208404e-13,3.7514436002091077e-13,0.0,9.980904991380157e-14,0.9999999999996249,0.9999999999996249,1.0
2,0.125,negative,-0.03125,volume_low,0.1,2.0,0,0.0,0.6362943611198906,1.0,0.0,0.7499999999999999,1.3862943611198906,0.0,0.24218316241483717,0.25,0.25,1.0
2,0.125,negative,-0.03125,volume_low,0.1,2.0,5,0.5,1.720510755576221e-05,2.7039541141745912e-05,0.0,0.00585455762548459,0.005871762733040295,0.0,0.0015604168773608595,0.9941454423745154,0.9941454423745154,1.0
2,0.125,negative,-0.03125,volume_low,0.1,2.0,10,1.0,1.8176571359163063e-12,2.8566293322436397e-12,0.0,1.906625923919769e-06,1.9066277415332865e-06,0.0,5.074303613961106e-07,0.9999980933740761,0.9999980933740761,1.0
2,0.125,negative,-0.03125,volume_low,0.1,2.0,15,1.5,0.0,0.0,0.0,6.101237293165694e-10,6.10123729502695e-10,0.0,1.623785550464163e-10,0.9999999993898763,0.9999999993898763,1.0
2,0.125,negative,-0.03125,volume_low,0.1,2.0,20,2.0,0.0,0.0,0.0,1.9517720772910252e-13,1.9517720772912158e-13,0.0,5.184741524999481e-14,0.9999999999998048,0.9999999999998048,1.0
2,0.125,negative,-0.03125,shape_only,0.1,2.0,0,0.0,2.7621956910836314,1.0,0.0,4.558929858404187,0.0,2.8284271247461903,0.1352032939031187,0.1353352832366127,7.38905609893065,0.3670988855829601
2,0.125,negative,-0.03125,shape_only,0.1,2.0,5,0.5,0.05603575709951647,0.02028667167949031,0.0,0.287104283015885,0.21008288372430797,0.416677779975738,0.08595994901921045,0.6036754454032431,1.0882303013471737,0.2878908495940097
2,0.125,negative,-0.03125,shape_only,0.1,2.0,10,1.0,0.0003881740898137309,0.0001405309881073079,0.0,0.02781634080388636,0.0018738284046564083,0.03935069781744227,0.004852871992803043,0.9707377071740858,1.0262909841962289,0.002852564938871784
2,0.125,negative,-0.03125,shape_only,0.1,2.0,15,1.5,2.3493316823053334e-06,8.505305000253881e-07,0.0,0.0021676171791650658,1.1723568646107574e-05,0.003065478483799224,0.0003487400764917714,0.9978230288542239,1.0021582226718486,1.870280244120548e-05
2,0.125,negative,-0.03125,shape_only,0.1,2.0,20,2.0,1.4205579379478195e-08,5.142857700246876e-09,0.0,0.000168556088152205,7.102045432492662e-08,0.0002383743081446714,2.6931547805975065e-05,0.999831387106548,1.0001684992637019,1.1361488286221915e-07
2,0.125,negative,-0.03125,mixed,0.1,2.0,0,0.0,5.011672049926549,1.0,1.9999999999999998,5.644555741786776,0.6931471805599454,2.1213203435596424,0.783383274430757,0.44626032029685964,8.963378140676129,0.4307988270442431
2,0.125,negative,-0.03125,mixed,0.1,2.0,5,0.5,0.683904816825885,0.13646240416627187,1.1538561481949987,0.17493223265258526,0.16525612659289615,0.15776536752642442,0.5405234838668292,0.7581961999813955,0.9477171697571835,0.7065630022842848
2,0.125,negative,-0.03125,mixed,0.1,2.0,10,1.0,0.23004001805235474,0.04590085220275461,0.6782190761639522,0.009943094007290435,0.0003065312335036787,0.014061035809077803,0.2789091456765106,0.9898031589118933,1.009682699453124,0.0006684400549949672
2,0.125,negative,-0.03125,mixed,0.1,2.0,15,1.5,0.07980387282749546,0.015923602349173078,0.39950863265042585,0.0007733635275460192,1.5141920939014267e-06,0.0010937013862747087,0.1441494914277458,0.9992254222813972,1.0007721474271931,2.468819501011343e-06
2,0.125,negative,-0.03125,mixed,0.1,2.0,20,2.0,0.027815093633580146,0.0055500626051514694,0.23586051736295424,6.0136846502286664e-05,9.04716734698952e-09,8.504634402388814e-05,0.07714011294005224,0.9999398559149862,1.0000601296071194,1.4490037603322885e-08
2,0.125,zero,0.0,mean_only,0.1,2.0,0,0.0,4.499999999999999,1.0,2.9999999999999996,0.0,0.0,0.0,1.126178161942212,1.0,1.0,1.0
2,0.125,zero,0.0,mean_only,0.1,2.0,5,0.5,1.56905298045,0.34867844010000004,1.7714699999999999,0.0,0.0,0.0,0.8796269010084781,1.0,1.0,1.0
2,0.125,zero,0.0,mean_only,0.1,2.0,10,1.0,0.547094945657562,0.12157665459056936,1.0460353203000001,0.0,0.0,0.0,0.4847531844313441,1.0,1.0,1.0
2,0.125,zero,0.0,mean_only,0.1,2.0,15,1.5,0.19076021223847284,0.042391158275216195,0.617673396283947,0.0,0.0,0.0,0.2496077137305744,1.0,1.0,1.0
2,0.125,zero,0.0,mean_only,0.1,2.0,20,2.0,0.06651397323645569,0.0147808829414346,0.36472996377170785,0.0,0.0,0.0,0.13016723127554308,1.0,1.0,1.0
2,0.125,zero,0.0,volume_high,0.1,2.0,0,0.0,1.6137056388801092,1.0,0.0,2.9999999999999996,1.3862943611198906,0.0,0.413512845638725,4.0,4.0,1.0
2,0.125,zero,0.0,volume_high,0.1,2.0,5,0.5,0.0002227574879356542,0.00013804096767626407,0.0,0.02125599114767529,0.021033233659739598,0.0,0.0056271217649699334,1.0212559911476753,1.0212559911476753,1.0
2,0.125,zero,0.0,volume_high,0.1,2.0,10,1.0,1.29559078287933e-06,8.028668622478466e-07,0.0,0.0016105785897715383,0.0016092829989885946,0.0,0.00042846743064439696,1.0016105785897715,1.0016105785897715,1.0
2,0.125,zero,0.0,volume_high,0.1,2.0,15,1.5,7.810720070722255e-09,4.840238444071369e-09,0.0,0.00012499096732487833,0.00012498315660476147,0.0,3.3264102240138094e-05,1.0001249909673249,1.0001249909673249,1.0
2,0.125,zero,0.0,volume_high,0.1,2.0,20,2.0,4.721756319270298e-11,2.926033227811694e-11,0.0,9.717803996167616e-06,9.717756778616265e-06,0.0,2.5862936203768783e-06,1.0000097178039962,1.0000097178039962,1.0
2,0.125,zero,0.0,volume_low,0.1,2.0,0,0.0,0.6362943611198906,1.0,0.0,0.7499999999999999,1.3862943611198906,0.0,0.24218316241483717,0.25,0.25,1.0
2,0.125,zero,0.0,volume_low,0.1,2.0,5,0.5,0.035997643959066794,0.05657388491658206,0.0,0.24487704583650272,0.2808746897955695,0.0,0.06932937002384953,0.7551229541634973,0.7551229541634973,1.0
2,0.125,zero,0.0,volume_low,0.1,2.0,10,1.0,0.0003612530861432095,0.0005677452264505331,0.0,0.026639180932385376,0.0270004340185286,0.0,0.00713718803240293,0.9733608190676146,0.9733608190676146,1.0
2,0.125,zero,0.0,volume_low,0.1,2.0,15,1.5,2.295653106054729e-06,3.607847635195658e-06,0.0,0.002141203188594565,0.0021434988417005463,0.0,0.0005701657541055116,0.9978587968114054,0.9978587968114054,1.0
2,0.125,zero,0.0,volume_low,0.1,2.0,20,2.0,1.3935915976759361e-08,2.190168077590987e-08,0.0,0.0001669392999487096,0.00016695323586463288,0.0,4.443114053931385e-05,0.9998330607000513,0.9998330607000513,1.0
2,0.125,zero,0.0,shape_only,0.1,2.0,0,0.0,2.7621956910836314,1.0,0.0,4.558929858404187,0.0,2.8284271247461903,0.1352032939031187,0.1353352832366127,7.38905609893065,0.3670988855829601
2,0.125,zero,0.0,shape_only,0.1,2.0,5,0.5,0.06869158750922999,0.024868472473172868,0.0,0.3120716757789238,0.33355332006743943,0.32298770100797325,0.10621360713204853,0.5701019276564896,0.9001746072270917,0.7203270520169197
2,0.125,zero,0.0,shape_only,0.1,2.0,10,1.0,0.0010938368809823018,0.00039600267443512695,0.0,0.045772064514224574,0.03756868168893039,0.040598273043266936,0.014312150090638576,0.9358725316975182,0.9911777786865857,0.6350178053569986
2,0.125,zero,0.0,shape_only,0.1,2.0,15,1.5,7.455888128227173e-06,2.6992613710515812e-06,0.0,0.003854705644974274,0.0030577594604087616,0.003343191725074797,0.0011894762728089647,0.9945929181763074,0.9993064746791316,0.6261864807294761
2,0.125,zero,0.0,shape_only,0.1,2.0,20,2.0,4.55294362211589e-08,1.648305960657601e-08,0.0,0.00030171764240916266,0.0002386656353453394,0.0002611905756989213,9.299954672969957e-05,0.9995767343395902,0.9999460254485919,0.6254788906150255
2,0.125,zero,0.0,mixed,0.1,2.0,0,0.0,5.011672049926549,1.0,1.9999999999999998,5.644555741786776,0.6931471805599454,2.1213203435596424,0.783383274430757,0.44626032029685964,8.963378140676129,0.4307988270442431
2,0.125,zero,0.0,mixed,0.1,2.0,5,0.5,0.5321399326423435,0.10618011859936895,1.0152431493591374,0.17054514276807675,0.17829710953016265,0.0924824803112255,0.4572872264191316,0.7837289084237568,0.8932380854799448,0.8969228672604136
2,0.125,zero,0.0,mixed,0.1,2.0,10,1.0,0.19059102899695257,0.03802942951938483,0.6171537482328782,0.017295708538364526,0.016178232654265937,0.009346703700902837,0.24524666759271518,0.97747032052004,0.9904765232074425,0.8586276985913459
2,0.125,zero,0.0,mixed,0.1,2.0,15,1.5,0.06673557177234324,0.013316029282746326,0.3653344192426894,0.0013796989619772192,0.00127639320579505,0.0007450216336153663,0.12907276289442554,0.9981984217388159,0.999250697510887,0.8545778785518381
2,0.125,zero,0.0,mixed,0.1,2.0,20,2.0,0.023278047525850276,0.00464476671537026,0.2157685878292304,0.00010750298410343726,9.936634277338045e-05,5.8046614329764244e-05,0.06961073936594692,0.9998595983598421,0.9999416805124915,0.8542540671417059
2,0.125,positive,0.03125,mean_only,0.1,2.0,0,0.0,4.499999999999999,1.0,2.9999999999999996,0.0,0.0,0.0,1.126178161942212,1.0,1.0,1.0
2,0.125,positive,0.03125,mean_only,0.1,2.0,5,0.5,1.56905298045,0.34867844010000004,1.7714699999999999,0.0,0.0,0.0,0.8796269010084781,1.0,1.0,1.0
2,0.125,positive,0.03125,mean_only,0.1,2.0,10,1.0,0.547094945657562,0.12157665459056936,1.0460353203000001,0.0,0.0,0.0,0.4847531844313441,1.0,1.0,1.0
2,0.125,positive,0.03125,mean_only,0.1,2.0,15,1.5,0.19076021223847284,0.042391158275216195,0.617673396283947,0.0,0.0,0.0,0.2496077137305744,1.0,1.0,1.0
2,0.125,positive,0.03125,mean_only,0.1,2.0,20,2.0,0.06651397323645569,0.0147808829414346,0.36472996377170785,0.0,0.0,0.0,0.13016723127554308,1.0,1.0,1.0
2,0.125,positive,0.03125,volume_high,0.1,2.0,0,0.0,1.6137056388801092,1.0,0.0,2.9999999999999996,1.3862943611198906,0.0,0.413512845638725,4.0,4.0,1.0
2,0.125,positive,0.03125,volume_high,0.1,2.0,5,0.5,0.008118867521342166,0.005031194863380755,0.0,0.1328964573540048,0.12477758983266267,0.0,0.03421960551203734,1.1328964573540048,1.1328964573540048,1.0
2,0.125,positive,0.03125,volume_high,0.1,2.0,10,1.0,0.00030829760470174605,0.0001910494685484898,0.0,0.02503729086483042,0.02472899326012878,0.0,0.006621898651592684,1.0250372908648304,1.0250372908648304,1.0
2,0.125,positive,0.03125,volume_high,0.1,2.0,15,1.5,1.341471944349415e-05,8.312990374628542e-06,0.0,0.0051886611742795186,0.005175246454835978,0.0,0.0013791224560368853,1.0051886611742795,1.0051886611742795,1.0
2,0.125,positive,0.03125,volume_high,0.1,2.0,20,2.0,5.992234319851519e-07,3.7133379071601015e-07,0.0,0.0010951354977712935,0.001094536274339386,0.0,0.00029137997879957744,1.0010951354977713,1.0010951354977713,1.0
2,0.125,positive,0.03125,volume_low,0.1,2.0,0,0.0,0.6362943611198906,1.0,0.0,0.7499999999999999,1.3862943611198906,0.0,0.24218316241483717,0.25,0.25,1.0
2,0.125,positive,0.03125,volume_low,0.1,2.0,5,0.5,0.12691619220522732,0.19946144419990194,0.0,0.42300433732528275,0.5499205295305102,0.0,0.12536948831242978,0.5769956626747172,0.5769956626747172,1.0
2,0.125,positive,0.03125,volume_low,0.1,2.0,10,1.0,0.011292756770729273,0.01774769267301662,0.0,0.14285246157134146,0.15414521834207062,0.0,0.03940948868366456,0.8571475384286585,0.8571475384286585,1.0
2,0.125,positive,0.03125,volume_low,0.1,2.0,15,1.5,0.0006217354418656118,0.0009771192074865243,0.0,0.034849615976468296,0.035471351418333845,0.0,0.00935616750246282,0.9651503840235317,0.9651503840235317,1.0
2,0.125,positive,0.03125,volume_low,0.1,2.0,20,2.0,2.9317571149656274e-05,4.607548477729203e-05,0.0,0.0076378261397964655,0.007667143710946123,0.0,0.0020366202000374756,0.9923621738602035,0.9923621738602035,1.0
2,0.125,positive,0.03125,shape_only,0.1,2.0,0,0.0,2.7621956910836314,1.0,0.0,4.558929858404187,0.0,2.8284271247461903,0.1352032939031187,0.1353352832366127,7.38905609893065,0.3670988855829601
2,0.125,positive,0.03125,shape_only,0.1,2.0,5,0.5,0.06107079274084315,0.022109509814232094,0.0,0.2994589587108591,0.32756783564416975,0.2664447558203841,0.10130451047062883,0.596919670871841,0.8700862433215057,0.7919726219834808
2,0.125,positive,0.03125,shape_only,0.1,2.0,10,1.0,0.003869704437625243,0.001400952311277818,0.0,0.08511962312438433,0.08554143182034196,0.03693853053336073,0.026189405542787703,0.8943474638911283,0.9423090813434384,0.9206278277730323
2,0.125,positive,0.03125,shape_only,0.1,2.0,15,1.5,0.00018294271195129497,6.623090193856796e-05,0.0,0.019003591633386562,0.019041126107975634,0.003382042261383158,0.0054210199890130095,0.9787954547456015,0.9834881784623499,0.9847553098422989
2,0.125,positive,0.03125,shape_only,0.1,2.0,20,2.0,8.3311952598919e-06,3.0161495388559905e-06,0.0,0.004076388391531763,0.004080184564997584,0.00027296605242320865,0.0011155480194184886,0.9957359164193946,0.9961203768411299,0.9977762181957621
2,0.125,positive,0.03125,mixed,0.1,2.0,0,0.0,5.011672049926549,1.0,1.9999999999999998,5.644555741786776,0.6931471805599454,2.1213203435596424,0.783383274430757,0.44626032029685964,8.963378140676129,0.4307988270442431
2,0.125,positive,0.03125,mixed,0.1,2.0,5,0.5,0.4333427638327214,0.08646670402926154,0.924654908599772,0.10358752028277717,0.10225907286296179,0.059334543714533367,0.4067317654826733,0.8657016618670916,0.9414790200747752,0.8662160371768541
2,0.125,positive,0.03125,mixed,0.1,2.0,10,1.0,0.15625062412442392,0.031177344121452226,0.5585330757631628,0.023094162449567194,0.023038337525835187,0.0056029660552613875,0.21469348028460278,0.9733610149080842,0.9811043615676345,0.9718943922493177
2,0.125,positive,0.03125,mixed,0.1,2.0,15,1.5,0.0551162514630108,0.010997577438016637,0.33197583912458895,0.004946077729413183,0.004947944718414126,0.00045573690271776815,0.11424782687453205,0.9947436637634289,0.9953849919632893,0.9957968120754629
2,0.125,positive,0.03125,mixed,0.1,2.0,20,2.0,0.019273502331249803,0.0038457229721430546,0.19633109110270192,0.0010519275774774845,0.001052177507722632,3.5784535006410635e-05,0.06228787172523187,0.9989230992791299,0.9989736530343472,0.999422602140447
2,0.25,negative,-0.0625,mean_only,0.1,2.0,0,0.0,4.499999999999999,1.0,2.9999999999999996,0.0,0.0,0.0,1.126178161942212,1.0,1.0,1.0
2,0.25,negative,-0.0625,mean_only,0.1,2.0,5,0.5,1.56905298045,0.34867844010000004,1.7714699999999999,0.0,0.0,0.0,0.8796269010084781,1.0,1.0,1.0
2,0.25,negative,-0.0625,mean_only,0.1,2.0,10,1.0,0.547094945657562,0.12157665459056936,1.0460353203000001,0.0,0.0,0.0,0.4847531844313441,1.0,1.0,1.0
2,0.25,negative,-0.0625,mean_only,0.1,2.0,15,1.5,0.19076021223847284,0.042391158275216195,0.617673396283947,0.0,0.0,0.0,0.2496077137305744,1.0,1.0,1.0
2,0.25,negative,-0.0625,mean_only,0.1,2.0,20,2.0,0.06651397323645569,0.0147808829414346,0.36472996377170785,0.0,0.0,0.0,0.13016723127554308,1.0,1.0,1.0
2,0.25,negative,-0.0625,volume_high,0.1,2.0,0,0.0,1.6137056388801092,1.0,0.0,2.9999999999999996,1.3862943611198906,0.0,0.413512845638725,4.0,4.0,1.0
2,0.25,negative,-0.0625,volume_high,0.1,2.0,5,0.5,0.0002227574879356542,0.00013804096767626407,0.0,0.02125599114767529,0.021033233659739598,0.0,0.0056271217649699334,1.0212559911476753,1.0212559911476753,1.0
2,0.25,negative,-0.0625,volume_high,0.1,2.0,10,1.0,1.29559078287933e-06,8.028668622478466e-07,0.0,0.0016105785897715383,0.0016092829989885946,0.0,0.00042846743064439696,1.0016105785897715,1.0016105785897715,1.0
2,0.25,negative,-0.0625,volume_high,0.1,2.0,15,1.5,7.810720070722255e-09,4.840238444071369e-09,0.0,0.00012499096732487833,0.00012498315660476147,0.0,3.3264102240138094e-05,1.0001249909673249,1.0001249909673249,1.0
2,0.25,negative,-0.0625,volume_high,0.1,2.0,20,2.0,4.721756319270298e-11,2.926033227811694e-11,0.0,9.717803996167616e-06,9.717756778616265e-06,0.0,2.5862936203768783e-06,1.0000097178039962,1.0000097178039962,1.0
2,0.25,negative,-0.0625,volume_low,0.1,2.0,0,0.0,0.6362943611198906,1.0,0.0,0.7499999999999999,1.3862943611198906,0.0,0.24218316241483717,0.25,0.25,1.0
2,0.25,negative,-0.0625,volume_low,0.1,2.0,5,0.5,0.035997643959066794,0.05657388491658206,0.0,0.24487704583650272,0.2808746897955695,0.0,0.06932937002384953,0.7551229541634973,0.7551229541634973,1.0
2,0.25,negative,-0.0625,volume_low,0.1,2.0,10,1.0,0.0003612530861432095,0.0005677452264505331,0.0,0.026639180932385376,0.0270004340185286,0.0,0.00713718803240293,0.9733608190676146,0.9733608190676146,1.0
2,0.25,negative,-0.0625,volume_low,0.1,2.0,15,1.5,2.295653106054729e-06,3.607847635195658e-06,0.0,0.002141203188594565,0.0021434988417005463,0.0,0.0005701657541055116,0.9978587968114054,0.9978587968114054,1.0
2,0.25,negative,-0.0625,volume_low,0.1,2.0,20,2.0,1.3935915976759361e-08,2.190168077590987e-08,0.0,0.0001669392999487096,0.00016695323586463288,0.0,4.443114053931385e-05,0.9998330607000513,0.9998330607000513,1.0
2,0.25,negative,-0.0625,shape_only,0.1,2.0,0,0.0,2.7621956910836314,1.0,0.0,4.558929858404187,0.0,2.8284271247461903,0.1352032939031187,0.1353352832366127,7.38905609893065,0.3670988855829601
