target_name,Lambda,epsilon,method,schedule_name,dt,alpha,beta,h_first,h_final,lambda_first,n_iters,n_batches,max_batches,gap0,gap_final,gap_min,min_eig_C_min,spd_feasible,monotone,status,failed_at_iter,wall_time_total,iter_to_1e_minus_1,batches_to_1e_minus_1,iter_to_1e_minus_3,batches_to_1e_minus_3,iter_to_1e_minus_6,batches_to_1e_minus_6
gaussian,100.0,0.01,fr_only,fr_only,0.5,0.01,1.0,0.0,0.0,0.0,8000,8000,8000,6.546468645318771,0.0,0.0,0.01,1,1,ok,-1,0.6341785903205164,24,24,30,30,39,39
gaussian,100.0,0.01,w_only,w_only,0.5,0.01,1.0,0.5,0.5,1.0,8000,8000,8000,6.546468645318771,0.0,0.0,0.01,1,1,ok,-1,0.5518492057453841,138,138,575,575,1264,1264
gaussian,100.0,0.01,wfr_fixed,wfr_fixed,0.5,0.01,1.0,0.5,0.5,1.0,4000,8000,8000,6.546468645318771,0.0,0.0,0.01,1,1,ok,-1,0.5391006936552003,10,20,16,32,24,48
gaussian,100.0,0.01,wfr_theory,wfr_theory,0.5,0.01,1.0,0.01,0.01,0.02,4000,8000,8000,6.546468645318771,0.0,0.0,0.01,1,1,ok,-1,0.4820666953455657,19,38,25,50,34,68
gaussian,100.0,0.01,wfr_adaptive,wfr_adaptive,0.5,0.01,1.0,0.7514767642486528,0.18000000000000013,1.5029535284973057,4000,8000,8000,6.546468645318771,0.0,0.0,0.01,1,1,ok,-1,0.693964185891673,9,18,15,30,23,46
gaussian,100.0,0.001,fr_only,fr_only,0.5,0.01,1.0,0.0,0.0,0.0,8000,8000,8000,8.844508738312816,0.0,0.0,0.001,1,1,ok,-1,0.5956480153254233,30,30,36,36,44,44
gaussian,100.0,0.001,w_only,w_only,0.5,0.01,1.0,0.5,0.5,1.0,8000,8000,8000,8.844508738312816,0.0,0.0,0.001,1,1,ok,-1,0.4715561607736163,138,138,575,575,1264,1264
gaussian,100.0,0.001,wfr_fixed,wfr_fixed,0.5,0.01,1.0,0.5,0.5,1.0,4000,8000,8000,8.844508738312816,0.0,0.0,0.001,1,1,ok,-1,0.46357173105934635,11,22,16,32,25,50
gaussian,100.0,0.001,wfr_theory,wfr_theory,0.5,0.01,1.0,0.001,0.001,0.002,4000,8000,8000,8.844508738312816,0.0,0.0,0.001,1,1,ok,-1,0.47570637974422425,25,50,31,62,40,80
gaussian,100.0,0.001,wfr_adaptive,wfr_adaptive,0.5,0.01,1.0,0.7557066257558909,0.18000000000000013,1.5114132515117817,4000,8000,8000,8.844508738312816,0.0,0.0,0.001,1,1,ok,-1,0.6072546938667074,9,18,15,30,23,46
gaussian,1000.0,0.01,fr_only,fr_only,0.5,0.001,1.0,0.0,0.0,0.0,8000,8000,8000,7.127988889415224,0.0,0.0,0.01,1,1,ok,-1,0.5773665874730796,29,29,36,36,44,44
gaussian,1000.0,0.01,w_only,w_only,0.5,0.001,1.0,0.5,0.5,1.0,8000,8000,8000,7.127988889415224,1.0730910683376393e-05,1.0730910683376393e-05,0.01,1,1,ok,-1,0.521205501165241,746,746,3653,3653,-1,-1
gaussian,1000.0,0.01,wfr_fixed,wfr_fixed,0.5,0.001,1.0,0.5,0.5,1.0,4000,8000,8000,7.127988889415224,-1.1102230246251565e-16,-1.1102230246251565e-16,0.01,1,1,ok,-1,0.4693620429607108,15,30,22,44,31,62
gaussian,1000.0,0.01,wfr_theory,wfr_theory,0.5,0.001,1.0,0.01,0.01,0.02,4000,8000,8000,7.127988889415224,0.0,0.0,0.01,1,1,ok,-1,0.4624219230026938,24,48,31,62,40,80
gaussian,1000.0,0.01,wfr_adaptive,wfr_adaptive,0.5,0.001,1.0,0.8974015162197679,0.18000000000000005,1.7948030324395359,4000,8000,8000,7.127988889415224,-1.1102230246251565e-16,-1.1102230246251565e-16,0.01,1,1,ok,-1,0.6128920809132978,14,28,21,42,29,58
gaussian,1000.0,0.001,fr_only,fr_only,0.5,0.001,1.0,0.0,0.0,0.0,8000,8000,8000,9.42606948240927,0.0,0.0,0.001,1,1,ok,-1,0.585142100811936,35,35,41,41,50,50
gaussian,1000.0,0.001,w_only,w_only,0.5,0.001,1.0,0.5,0.5,1.0,8000,8000,8000,9.42606948240927,1.0730914688839022e-05,1.0730914688839022e-05,0.001,1,1,ok,-1,0.4622367919655517,746,746,3653,3653,-1,-1
gaussian,1000.0,0.001,wfr_fixed,wfr_fixed,0.5,0.001,1.0,0.5,0.5,1.0,4000,8000,8000,9.42606948240927,-1.1102230246251565e-16,-1.1102230246251565e-16,0.001,1,1,ok,-1,0.4733301820233464,15,30,22,44,31,62
gaussian,1000.0,0.001,wfr_theory,wfr_theory,0.5,0.001,1.0,0.001,0.001,0.002,4000,8000,8000,9.42606948240927,0.0,0.0,0.001,1,1,ok,-1,0.4951950297690928,30,60,37,74,45,90
gaussian,1000.0,0.001,wfr_adaptive,wfr_adaptive,0.5,0.001,1.0,0.8975105049362233,0.18000000000000005,1.7950210098724466,4000,8000,8000,9.42606948240927,-1.1102230246251565e-16,-1.1102230246251565e-16,0.001,1,1,ok,-1,0.6387652087723836,14,28,21,42,29,58
smooth_log_cosh,100.0,0.01,fr_only,fr_only,0.5,0.05,10.160975772792485,0.0,0.0,0.0,8000,8000,8000,11.524700878981053,2.886579864025407e-15,2.6645352591003757e-15,0.01,1,1,ok,-1,66.18966379173798,17,17,25,25,39,39
smooth_log_cosh,100.0,0.01,w_only,w_only,0.5,0.05,10.160975772792485,0.04920787247016413,0.04920787247016413,0.09841574494032826,8000,8000,8000,11.524700878981053,2.886579864025407e-15,2.6645352591003757e-15,0.01,1,1,ok,-1,74.70142675656825,171,171,260,260,387,387
smooth_log_cosh,100.0,0.01,wfr_fixed,wfr_fixed,0.5,0.05,10.160975772792485,0.04920787247016413,0.04920787247016413,0.09841574494032826,4000,8000,8000,11.524700878981053,2.6645352591003757e-15,2.6645352591003757e-15,0.01,1,1,ok,-1,51.09317165677203,10,20,17,34,29,58
smooth_log_cosh,100.0,0.01,wfr_theory,wfr_theory,0.5,0.05,10.160975772792485,0.01,0.01,0.02,4000,8000,8000,11.524700878981053,2.886579864025407e-15,2.6645352591003757e-15,0.01,1,1,ok,-1,50.80117979116039,13,26,21,42,34,68
smooth_log_cosh,100.0,0.01,wfr_adaptive,wfr_adaptive,0.5,0.05,10.160975772792485,0.07899619794291876,0.01771483408925905,0.15799239588583752,4000,8000,8000,11.524700878981053,2.6645352591003757e-15,2.6645352591003757e-15,0.01,1,1,ok,-1,59.84954038861906,8,16,16,32,29,58
smooth_log_cosh,100.0,0.001,fr_only,fr_only,0.5,0.05,10.160975772792485,0.0,0.0,0.0,8000,8000,8000,13.781385969757775,3.1086244689504383e-15,2.4424906541753444e-15,0.001,1,1,ok,-1,75.68371178378584,23,23,31,31,44,44
smooth_log_cosh,100.0,0.001,w_only,w_only,0.5,0.05,10.160975772792485,0.04920787247016413,0.04920787247016413,0.09841574494032826,8000,8000,8000,13.781385969757775,2.886579864025407e-15,2.6645352591003757e-15,0.001,1,1,ok,-1,54.72890398144955,171,171,260,260,387,387
smooth_log_cosh,100.0,0.001,wfr_fixed,wfr_fixed,0.5,0.05,10.160975772792485,0.04920787247016413,0.04920787247016413,0.09841574494032826,4000,8000,8000,13.781385969757775,2.6645352591003757e-15,2.6645352591003757e-15,0.001,1,1,ok,-1,72.60065755044343,10,20,17,34,29,58
smooth_log_cosh,100.0,0.001,wfr_theory,wfr_theory,0.5,0.05,10.160975772792485,0.001,0.001,0.002,4000,8000,8000,13.781385969757775,2.886579864025407e-15,2.6645352591003757e-15,0.001,1,1,ok,-1,49.2320190097671,18,36,26,52,40,80
smooth_log_cosh,100.0,0.001,wfr_adaptive,wfr_adaptive,0.5,0.05,10.160975772792485,0.0814026095358411,0.01771483408925905,0.1628052190716822,4000,8000,8000,13.781385969757775,2.6645352591003757e-15,2.6645352591003757e-15,0.001,1,1,ok,-1,55.803813792183064,9,18,16,32,29,58
smooth_log_cosh,1000.0,0.01,fr_only,fr_only,0.5,0.05,100.15100907146089,0.0,0.0,0.0,8000,8000,8000,10.861767515089468,2.220446049250313e-15,1.7763568394002505e-15,0.009984972863771155,1,1,ok,-1,43.397843025333714,17,17,25,25,39,39
smooth_log_cosh,1000.0,0.01,w_only,w_only,0.5,0.05,100.15100907146089,0.004992460931104891,0.004992460931104891,0.009984921862209782,8000,8000,8000,10.861767515089468,1.7763568394002505e-15,1.7763568394002505e-15,0.00998497286377116,1,1,ok,-1,51.63748089573346,1680,1680,2560,2560,3813,3813
smooth_log_cosh,1000.0,0.01,wfr_fixed,wfr_fixed,0.5,0.05,100.15100907146089,0.004992460931104891,0.004992460931104891,0.009984921862209782,4000,8000,8000,10.861767515089468,1.7763568394002505e-15,1.7763568394002505e-15,0.009984972863771155,1,1,ok,-1,38.54439201799687,14,28,22,44,35,70
smooth_log_cosh,1000.0,0.01,wfr_theory,wfr_theory,0.5,0.05,100.15100907146089,0.009984921862209782,0.009984921862209782,0.019969843724419564,4000,8000,8000,10.861767515089468,1.7763568394002505e-15,1.3322676295501878e-15,0.009984972863740324,1,1,ok,-1,44.52438177273143,13,26,21,42,34,68
smooth_log_cosh,1000.0,0.01,wfr_adaptive,wfr_adaptive,0.5,0.05,100.15100907146089,0.008972907454756965,0.0017972859351977617,0.01794581490951393,4000,8000,8000,10.861767515089468,1.7763568394002505e-15,1.7763568394002505e-15,0.009984972863771155,1,1,ok,-1,61.366942654247396,13,26,21,42,34,68
smooth_log_cosh,1000.0,0.001,fr_only,fr_only,0.5,0.05,100.15100907146089,0.0,0.0,0.0,8000,8000,8000,12.713452606019008,2.220446049250313e-15,1.7763568394002505e-15,0.001,1,1,ok,-1,46.83671742858132,23,23,31,31,44,44
smooth_log_cosh,1000.0,0.001,w_only,w_only,0.5,0.05,100.15100907146089,0.004992460931104891,0.004992460931104891,0.009984921862209782,8000,8000,8000,12.713452606019008,1.7763568394002505e-15,1.7763568394002505e-15,0.001,1,1,ok,-1,47.75274184078444,1680,1680,2560,2560,3813,3813
smooth_log_cosh,1000.0,0.001,wfr_fixed,wfr_fixed,0.5,0.05,100.15100907146089,0.004992460931104891,0.004992460931104891,0.009984921862209782,4000,8000,8000,12.713452606019008,2.220446049250313e-15,1.7763568394002505e-15,0.001,1,1,ok,-1,53.38455666601658,15,30,23,46,36,72
smooth_log_cosh,1000.0,0.001,wfr_theory,wfr_theory,0.5,0.05,100.15100907146089,0.001,0.001,0.002,4000,8000,8000,12.713452606019008,1.7763568394002505e-15,1.7763568394002505e-15,0.001,1,1,ok,-1,39.04188804340083,18,36,26,52,40,80
smooth_log_cosh,1000.0,0.001,wfr_adaptive,wfr_adaptive,0.5,0.05,100.15100907146089,0.008978741111641333,0.0017972859351977617,0.017957482223282667,4000,8000,8000,12.713452606019008,1.7763568394002505e-15,1.7763568394002505e-15,0.001,1,1,ok,-1,35.38196071621496,14,28,22,44,35,70
